state,answer_set,facility_name,eligible_to_vote,count,n_respondents,pct_of_respondents
FL,all-surveys,"Nassau County, FL",Yes,7,18,0.3888888888888889
GA,all-surveys,"Bibb County Jail, GA",Not sure,7,38,0.18421052631578946
IL,all-surveys,Edovo Go - General,Yes,7,13,0.5384615384615384
IN,all-surveys,"Hamilton County Main Jail, IN",No,7,65,0.1076923076923077
MA,all-surveys,"Franklin County Jail, MA",Yes,7,10,0.7
MA,all-surveys,"Norfolk County Jail, MA",Not sure,7,21,0.3333333333333333
MA,all-surveys,"Worcester County Jail, MA",Not sure,7,51,0.13725490196078433
NH,all-surveys,"Hillsborough County House of Corrections, NH",Not sure,7,17,0.4117647058823529
NJ,all-surveys,"Bergen County, NJ",No,7,35,0.2
NJ,all-surveys,"Cumberland County Jail, NJ",Yes,7,14,0.5
NJ,all-surveys,"Ocean County, NJ",Not sure,7,16,0.4375
NJ,all-surveys,"Ocean County, NJ",Yes,7,16,0.4375
NM,all-surveys,"Curry County Detention Center, NM",Yes,7,12,0.5833333333333334
NM,all-surveys,"Luna County Detention Center, NM",Yes,7,28,0.25
NY,all-surveys,"Herkimer County Correctional Facility, NY",Yes,7,8,0.875
OH,all-surveys,"Fairfield County, OH",Yes,7,12,0.5833333333333334
OH,all-surveys,"Muskingum County, OH",No,7,22,0.3181818181818182
PA,all-surveys,"Berks County Jail, PA",No,7,50,0.14
PA,all-surveys,"Columbia County, PA",No,7,18,0.3888888888888889
PA,all-surveys,"Cumberland County Prison, PA",Yes,7,12,0.5833333333333334
PA,all-surveys,"Fayette County, PA",Not sure,7,26,0.2692307692307692
VA,all-surveys,"Meherrin River Alberta, VA",Yes,7,15,0.4666666666666667
WI,all-surveys,"Dodge County, WI",Yes,7,26,0.2692307692307692
WI,all-surveys,"Rock County, WI",Yes,7,26,0.2692307692307692
AL,all-surveys,"Tuscaloosa County Jail, AL",No,6,10,0.6
CA,all-surveys,"Tehama County, CA",Yes,6,13,0.46153846153846156
CO,all-surveys,"Mesa County, CO",No,6,59,0.1016949152542373
CO,all-surveys,"Pueblo County, CO",No,6,63,0.09523809523809523
FL,all-surveys,Santa Rosa County FL,Yes,6,41,0.14634146341463414
GA,all-surveys,"Catoosa County Jail, GA",Yes,6,14,0.42857142857142855
IL,all-surveys,"Madison County, IL",Yes,6,17,0.35294117647058826
IN,all-surveys,"Boone County, IN",No,6,23,0.2608695652173913
KS,all-surveys,"Douglas County, KS",No,6,20,0.3
MA,all-surveys,"Bristol County House of Correction, MA",No,6,44,0.13636363636363635
MI,all-surveys,"Livingston County, MI",Not sure,6,25,0.24
MO,all-surveys,"Marion County, MO ",No,6,9,0.6666666666666666
MT,all-surveys,"Missoula County, MT",No,6,22,0.2727272727272727
NE,all-surveys,"Scotts Bluff County Detention Center, NE",Yes,6,27,0.2222222222222222
NH,all-surveys,"Hillsborough County House of Corrections, NH",No,6,17,0.35294117647058826
NM,all-surveys,"Chaves County Adult Detention Center, NM",Yes,6,28,0.21428571428571427
NM,all-surveys,"Eddy County Detention Center, NM",Yes,6,19,0.3157894736842105
NM,all-surveys,"Lea County Sheriff's Office, NM",No,6,18,0.3333333333333333
NV,all-surveys,"Elko County, NV",Yes,6,11,0.5454545454545454
NY,all-surveys,"Chautauqua County, NY",No,6,29,0.20689655172413793
NY,all-surveys,"Delaware County Correctional Facility, NY",Yes,6,12,0.5
NY,all-surveys,"Erie County, NY",No,6,45,0.13333333333333333
OH,all-surveys,"Ashland County, OH ",Yes,6,9,0.6666666666666666
OH,all-surveys,"Greene County, OH: Adult Detention",Not sure,6,18,0.3333333333333333
OH,all-surveys,"Lorain County, OH ",No,6,27,0.2222222222222222
OH,all-surveys,"Muskingum County, OH",Not sure,6,22,0.2727272727272727
